"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"California","CF",0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.59,0.59,0.59,0.59,0.59,0.59,0.59
"California","GF",29.16,29.16,29.16,29.16,29.16,29.16,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,25.5,25.5,25.5,25.5,25.5,25.5,25.5
"California","OF",2.29,2.29,2.29,2.29,2.29,2.29,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.33,2.33,2.33,2.33,2.33,2.33,2.33
"California","SF",3.57,3.57,3.57,3.57,3.57,3.57,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.03,4.03,4.03,4.03,4.03,4.03,4.03
"California","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California","Total Forest Land Converted to Land",58.24,58.24,58.24,58.24,58.24,58.24,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,58.82,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,59.08,59.08,59.08,59.08,59.08,59.08,59.08
"California","FC",1.79,1.79,1.79,1.79,1.79,1.79,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.46,1.46,1.46,1.46,1.46,1.46,1.46
"California","FG",46.34,46.34,46.34,46.34,46.34,46.34,45.71,45.71,45.71,45.71,45.71,45.71,45.71,45.71,45.71,45.71,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,43.53,43.53,43.53,43.53,43.53,43.53,43.53
"California","FO",3.97,3.97,3.97,3.97,3.97,3.97,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6,6,6,6,6,6,6
"California","FS",6.14,6.14,6.14,6.14,6.14,6.14,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,7.87,7.87,7.87,7.87,7.87,7.87,7.87
"California","FW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
"California","Total Woodlands Remaining Woodlands",570.35,562.32,554.29,546.26,538.23,530.2,521.96,510.74,499.53,488.31,477.1,465.88,454.67,443.45,432.24,421.02,409.64,394.06,378.48,362.91,347.33,331.75,316.18,300.6,285.03,269.45,262.16,254.86,247.55,240.25,232.94,225.64,218.33
"Colorado","Total Forest Land",7189.91,7200.91,7211.91,7222.92,7233.92,7244.92,7256.22,7267.52,7278.82,7290.12,7301.42,7312.72,7324.01,7335.31,7346.61,7357.91,7368.47,7379.03,7389.59,7400.15,7410.7,7421.26,7431.82,7442.38,7452.94,7463.5,7474.06,7478.86,7483.65,7488.45,7493.25,7498.05,7502.84
"Colorado","FF",7153.41,7164.41,7175.41,7186.42,7197.42,7208.42,7219.16,7230.46,7241.76,7253.06,7264.35,7275.65,7286.95,7298.25,7309.55,7320.85,7334.26,7344.82,7355.37,7365.93,7376.49,7387.05,7397.61,7408.17,7418.73,7429.29,7439.85,7447.66,7452.46,7457.26,7462.05,7466.85,7471.65
