"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Kansas","CO",0.13,6.17,0.03,2.43,4.01,0.72,7.1,0.17,4.02,0.01,1.12,1.64,4.44,10.71,6.18,10.41,26.27,6.39,25.14,52.42,9.59,27.57,7.93,7.39,87.13,37.79,64.87,43.34,23.65,20.11,31.76,31.32
"Kansas","NOx",0.01,0.22,0,0.09,0.15,0.03,0.27,0.01,0.12,0,0.08,0.08,0.18,0.43,0.22,0.41,1.01,0.28,0.82,1.66,0.35,1.01,0.29,0.24,2.69,1.2,2.09,1.64,0.77,0.62,1.05,1.16
"Kentucky","CH4",,8.36,,,2.41,1.53,,,0.05,8.76,3.16,5.31,0.17,0.1,0.56,1.22,0.54,0.57,0.48,0.28,1.6,0.1,0.24,0.38,0.1,0.19,1.95,0.15,0.16,0.52,0.23,0.43
"Kentucky","N2O",,0.82,,,0.23,0.15,,,0,0.85,0.3,0.51,0.02,0.01,0.06,0.12,0.05,0.06,0.05,0.03,0.15,0.01,0.02,0.04,0.01,0.02,0.18,0.01,0.02,0.05,0.02,0.04
"Kentucky","CO",,250.3,,,71.98,45.71,,,1.42,262.18,94.18,159.09,4.94,3,16.78,36.49,16.16,17.04,14.34,8.46,47.62,2.98,7.24,11.47,3.15,5.73,57.73,4.43,4.61,15.46,6.9,13.08
"Kentucky","NOx",,6.61,,,1.89,1.21,,,0.04,6.83,2.43,4.13,0.14,0.08,0.45,0.95,0.43,0.45,0.37,0.22,1.24,0.08,0.19,0.3,0.08,0.15,1.48,0.12,0.13,0.42,0.19,0.35
"Louisiana","CH4",,0,0.01,0,,0,0.07,0.08,0.11,0.04,0.55,0.22,0.14,0.92,0.36,0.82,0.84,0.88,0.62,0.55,2.05,0.6,0.41,1.69,1.31,1.29,1.53,1.43,1.3,1.65,0.97,1.28
"Louisiana","N2O",,0,0,0,,0,0.01,0.01,0.01,0,0.05,0.02,0.01,0.08,0.03,0.07,0.07,0.07,0.05,0.05,0.17,0.05,0.04,0.14,0.11,0.11,0.12,0.11,0.09,0.14,0.08,0.11
"Louisiana","CO",,0,0.23,0,,0.1,1.86,2.01,2.7,1.06,14.24,6.14,3.79,25.23,9.58,22.78,22.66,23.41,16.68,14.23,52.78,16.69,11.19,43.22,33.96,32.75,39.06,36.35,31.7,44.92,25.08,34.31
"Louisiana","NOx",,0,0.01,0,,0,0.05,0.05,0.08,0.03,0.38,0.16,0.1,0.67,0.26,0.61,0.6,0.62,0.44,0.38,1.41,0.44,0.29,1.16,0.91,0.88,0.98,0.91,0.77,1.15,0.63,0.91
"Maine","CH4",,,,,,,,,,,,0.02,,,,,0.06,0,,0.09,0,,,,,,,,0.01,,,0.01
"Maine","N2O",,,,,,,,,,,,0,,,,,0,0,,0.01,0,,,,,,,,0,,,0
"Maine","CO",,,,,,,,,,,,0.58,,,,,1.54,0.04,,2.7,0.03,,,,,,,,0.39,,,0.21
"Maine","NOx",,,,,,,,,,,,0.02,,,,,0.02,0,,0.05,0,,,,,,,,0.01,,,0
"Maryland","CH4",,,0,,,,,,,0,0,0,0,,0,0,0.01,0,0,0.01,0.01,0.04,0,,0,,,0.01,,0,,0
"Maryland","N2O",,,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,,0,,0
"Maryland","CO",,,0.06,,,,,,,0.02,0.01,0.14,0.09,,0.04,0.13,0.28,0.03,0.01,0.29,0.16,1.28,0,,0.03,,,0.42,,0.12,,0.14
"Maryland","NOx",,,0,,,,,,,0,0,0,0,,0,0,0.01,0,0,0.01,0,0.04,0,,0,,,0.01,,0,,0
"Massachusetts","CH4",,,,,,,,,,,,,0,,,0.03,,,0.02,,0,,,,,,0,0,,,,
"Massachusetts","N2O",,,,,,,,,,,,,0,,,0,,,0,,0,,,,,,0,0,,,,
"Massachusetts","CO",,,,,,,,,,,,,0.07,,,0.76,,,0.58,,0,,,,,,0.08,0.01,,,,
"Massachusetts","NOx",,,,,,,,,,,,,0,,,0.02,,,0.01,,0,,,,,,0,0,,,,
"Michigan","CH4",0.28,,,,0.22,0.12,0.02,,0.33,0.9,0.16,,0.06,0.43,0.07,0.06,0.39,4.79,0.03,0.3,0.24,0.22,2.62,0,0.06,0.08,0.14,0.13,0.12,0.17,0.01,0.01
"Michigan","N2O",0.02,,,,0.02,0.01,0,,0.02,0.06,0.01,,0,0.04,0.01,0.01,0.03,0.3,0,0.02,0.02,0.02,0.19,0,0.01,0.01,0.01,0.01,0.01,0.02,0,0
"Michigan","CO",7.4,,,,5.73,3.13,0.41,,8.58,23.31,4.41,,1.64,11.88,1.89,1.63,10.84,119.7,0.71,8.23,6.68,5.93,68.6,0.03,1.73,2.28,3.94,3.97,3.36,4.86,0.42,0.29
